54,quadrats,,,
4,variables,,,
,Q,C,C,Q
,SpCount ,VegCom  ,Water   ,pH
C01     ,2,3,1,7.3
C02     ,1,3,2,7.2
C03     ,2,9,0,7.1
C04     ,2,1,1,7.3
C05     ,1,3,0,7.3
C06     ,3,6,2,6.7
C08     ,3,9,1,7.0
C09     ,3,6,2,6.7
C10     ,3,6,1,7.0
C11     ,3,5,2,6.7
C12     ,2,5,3,7.0
C13     ,2,9,0,7.3
C14     ,2,5,2,7.1
C15     ,2,1,0,7.3
C16     ,2,1,2,7.1
C17     ,1,3,2,6.9
C18     ,2,3,0,6.9
C19     ,2,3,0,6.9
C20     ,2,3,1,6.6
C21     ,2,3,1,6.9
C22     ,2,5,0,7.1
C23     ,3,2,2,7.1
C24     ,2,3,2,7.0
C25     ,2,5,0,7.4
C26     ,2,2,2,6.6
C27     ,2,2,1,7.2
C28     ,2,3,1,6.9
C29     ,2,3,2,6.9
C30     ,2,4,3,6.5
C31     ,2,5,2,6.9
C32     ,2,5,3,6.9
C33     ,3,1,2,6.9
C35     ,2,2,3,6.9
C38     ,2,3,1,7.3
C39     ,1,3,1,7.0
C40     ,2,4,0,7.3
C41     ,2,4,2,6.8
C42     ,4,5,1,7.2
C43     ,1,4,4,6.5
C44     ,3,1,2,7.0
C45     ,2,1,0,7.3
C46     ,3,4,1,7.1
C47     ,2,4,1,7.3
C48     ,2,2,2,6.9
C49     ,2,2,2,6.8
C50     ,3,5,2,6.8
C53     ,2,8,2,7.5
C54     ,2,3,1,7.0
C57     ,2,2,2,6.8
C59     ,3,4,2,6.5
C70     ,2,1,2,7.0
C71     ,2,5,1,7.0
C73     ,2,1,0,7.4
C74     ,2,5,2,7.0
