1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
ID Number,Date,Time,Latitude,Longitude,"Vegetation Community
(Hanley)",Species count,Calliergonella cuspidata,Rhizomnium punctatum,Ctenidium molluscum,Cinclidotus fontinaloides,Rhytidiadelphus triquetrus,Aulacomnium palustre,Sphagnum subnitens,Water pH,Soil pH,Water category,Axis1,Axis2,Axis3,Group4  
C01,2020-08-06,12:15:00,53.0427,-9.0461,3,2,9,,2,,,,,NA,7.3,1,0.0213,-0.472,0.3248,1
C02,2020-08-06,13:00:00,53.0427,-9.0457,3,1,5,,,,,,,NA,7.2,2,0.4569,-0.0152,-0.5375,1
C04,2020-08-06,14:30:00,53.0435,-9.0448,1,2,9,,2,,,,,NA,7.3,1,0.0213,-0.472,0.3248,1
C05,2020-08-06,15:00:00,53.04464,-9.04491,3,1,7,,,,,,,NA,7.3,0,0.2722,-0.3527,-0.076,1
C06,2020-08-08,14:20:00,53.04195,-9.0485,6,3,9,1,,,,,,6.7,6.7,2,0.0781,-0.5212,0.293,1
C12,2020-08-09,11:15:00,53.03955,-9.05738,5,2,9,2,,,,,,6.6,7,3,0.0446,-0.5298,0.2611,1
C13,2020-08-09,11:30:00,53.03966,-9.05684,9,2,4,,,3,,,,NA,7.3,0,0.4638,0.5612,-0.6023,1
C14,2020-08-09,12:40:00,53.03851,-9.05899,5,2,9,1,,,,,,NA,7.1,2,0.0781,-0.5212,0.293,1
C15,2020-08-09,13:00:00,53.03877,-9.05829,1,2,8,,4,,,,,NA,7.3,0,-0.0735,-0.2007,0.2033,1
C16,2020-08-09,13:30:00,53.03828,-9.05753,1,2,9,3,,,,,,NA,7.1,2,0.0187,-0.5485,0.2374,1
C17,2020-08-09,14:00:00,53.03775,-9.05731,3,1,9,,,,,,,NA,6.9,2,0.0885,-0.5232,0.2994,1
C20,2020-08-09,15:00:00,53.03668,-9.05641,3,2,9,1,,,,,,NA,6.6,1,0.0781,-0.5212,0.293,1
C21,2020-08-09,15:20:00,53.03765,-9.05565,3,2,9,2,,,,,,NA,6.9,1,0.0446,-0.5298,0.2611,1
C22,2020-08-09,15:35:00,53.03787,-9.05421,5,2,9,,,,2,,,NA,7.1,0,0.1134,-0.4963,0.3343,1
C24,2020-08-10,11:15:00,53.03712,-9.05578,3,2,9,2,,,,,,6.6,7,2,0.0446,-0.5298,0.2611,1
C25,2020-08-10,11:30:00,53.03765,-9.05476,5,2,9,3,,,,,,NA,7.4,0,0.0187,-0.5485,0.2374,1
C26,2020-08-10,12:25:00,53.03833,-9.05339,2,2,9,2,,,,,,6.6,NA,2,0.0446,-0.5298,0.2611,1
C27,2020-08-10,12:45:00,53.03868,-9.05219,2,2,9,,,,2,,,NA,7.2,1,0.1134,-0.4963,0.3343,1
C28,2020-08-10,13:15:00,53.03945,-9.04978,3,2,9,2,,,,,,NA,6.9,1,0.0446,-0.5298,0.2611,1
C29,2020-08-10,13:45:00,53.03949,-9.0495,3,2,7,3,,,,,,NA,6.9,2,0.1365,-0.4048,-0.1801,1
C31,2020-08-23,11:00:00,53.03887,-9.058547,5,2,8,2,,,,,,6.9,NA,2,0.1474,-0.4497,0.0804,1
C32,2020-08-23,11:18:00,53.038975,-9.058206,5,2,9,1,,,,,,6.9,NA,3,0.0781,-0.5212,0.293,1
C35,2020-08-23,13:00:00,53.037981,-9.055085,2,2,6,,2,,,,,6.9,NA,3,0.1917,-0.0498,-0.1963,1
C38,2020-08-18,17:20:00,53.03923,-9.05124,3,2,7,2,,,,,,NA,7.3,1,0.1699,-0.3451,-0.1087,1
C39,2020-08-18,14:00:00,53.039379,-9.048424,3,1,4,,,,,,,NA,7,1,0.518,0.1607,-0.8506,1
C40,2020-08-18,16:26:00,53.04017,-9.04857,4,2,6,,,,5,,,NA,7.3,0,0.537,0.0303,0.204,1
C41,2020-08-18,15:15:00,53.04098,-9.04747,4,2,8,2,,,,,,6.8,NA,2,0.1474,-0.4497,0.0804,1
C42,2020-08-10,12:00:00,53.03799,-9.05371,5,4,6,,2,5,4,,,NA,7.2,1,0.3584,0.2885,0.1953,1
C43,2020-08-10,14:15:00,53.039641,-9.049505,4,1,7,,,,,,,6.5,NA,4,0.2722,-0.3527,-0.076,1
C45,2020-08-10,15:55:00,53.04046,-9.05346,1,2,8,2,,,,,,NA,7.3,0,0.1474,-0.4497,0.0804,1
C47,2020-08-18,15:52:00,53.04045,-9.04788,4,2,7,,,,5,,,NA,7.3,1,0.5117,-0.16,0.0952,1
C48,2020-08-18,15:35:00,53.04015,-9.04946,2,2,8,2,,,,,,6.9,NA,2,0.1474,-0.4497,0.0804,1
C49,2020-08-18,16:35:00,53.04026,-9.04935,2,2,6,,5,,,,,6.8,NA,2,-0.2212,0.1867,0.0779,1
C54,2020-08-18,14:20:00,53.03989,-9.04784,3,2,8,2,,,,,,NA,7,1,0.1474,-0.4497,0.0804,1
C57,2020-08-18,16:58:00,53.03992,-9.05004,2,2,8,2,,,,,,6.8,NA,2,0.1474,-0.4497,0.0804,1
C71,2020-08-23,11:27:00,53.038933,-9.058305,5,2,5,,,4,,,,NA,NA,1,0.4863,0.3467,-0.2331,1
C74,2020-08-23,13:35:00,53.038291,-9.053016,5,2,8,,,,5,,,NA,NA,2,0.3211,-0.3023,0.3212,1
C03,2020-08-06,13:40:00,53.0431,-9.0457,9,2,,,7,2,,,,NA,7.1,0,-1.1383,1.1833,0.1239,3
C08,2020-08-08,15:40:00,53.04176,-9.04941,9,3,2,,9,,,,,NA,7,1,-1.377,0.867,0.0155,3
C09,2020-08-08,16:20:00,53.04159,-9.05028,6,3,7,2,7,,,,,6.6,6.7,2,-0.4589,0.0602,0.1666,3
C10,2020-08-08,16:45:00,53.04141,-9.05099,6,3,6,2,7,,,,,NA,7,1,-0.4679,0.1901,0.0769,3
C11,2020-08-09,11:00:00,53.03956,-9.0579,5,3,7,2,7,,,,,6.7,NA,2,-0.4589,0.0602,0.1666,3
C23,2020-08-10,10:45:00,53.03804,-9.0563,2,3,5,2,7,,,,,6.7,7.1,2,-0.6058,0.3955,0.0202,3
C33,2020-08-23,12:20:00,53.038158,-9.056657,1,3,3,2,8,,,,,6.9,NA,2,-1.0841,0.7581,-0.0417,3
C44,2020-08-10,15:35:00,53.04059,-9.05324,1,3,2,2,9,,,,,6.7,7,2,-1.2521,0.6963,-0.0748,3
C59,2020-08-18,13:45:00,53.0396,-9.04957,4,3,2,1,8,,,,,6.5,NA,2,-1.2755,0.9383,-0.0604,3
C18,2020-08-09,14:20:00,53.03776,-9.05733,3,2,,,0,7,,,,NA,NA,0,0.8042,1.8454,-0.0916,17
C19,2020-08-09,14:35:00,53.03737,-9.0562,3,2,,,,6,8,,,NA,NA,0,1.0857,1.558,0.4514,17
C46,2020-08-18,14:47:00,53.040662,-9.047573,4,3,5,2,,,7,,,NA,7.1,1,0.7645,0.3161,0.3701,17
C50,2020-08-18,17:38:00,53.03871,-9.05232,5,3,4,,,6,,6,,6.8,NA,2,0.6411,0.928,-0.2092,17
C53,2020-08-23,11:40:00,53.038684,-9.057304,8,2,2,,,,,,6,7.2,7.5,2,0.2335,0.5071,-1.4744,17
C73,2020-08-23,12:00:00,53.038772,-9.057479,1,2,,,4,3,,,,NA,7.4,0,-0.5735,1.6925,0.1304,17
C30,2020-08-10,13:50:00,53.03987,-9.04937,4,2,1,7,,,,,,6.5,NA,3,-0.789,-0.1939,-1.6466,29
C70,2020-08-23,10:48:00,53.038352,-9.057229,1,2,4,7,,,,,,7,NA,2,-0.2644,-0.2046,-1.2113,29
