ID,Date,Time,Latitude,Longitude
C01,2020-08-06,12:15:00,53.0427,-9.0461
C02,2020-08-06,13:00:00,53.0427,-9.0457
C03,2020-08-06,13:40:00,53.0431,-9.0457
C04,2020-08-06,14:30:00,53.0435,-9.0448
C05,2020-08-06,15:00:00,53.04464,-9.04491
C06,2020-08-08,14:20:00,53.04195,-9.0485
C08,2020-08-08,15:40:00,53.04176,-9.04941
C09,2020-08-08,16:20:00,53.04159,-9.05028
C10,2020-08-08,16:45:00,53.04141,-9.05099
C11,2020-08-09,11:00:00,53.03956,-9.0579
C12,2020-08-09,11:15:00,53.03955,-9.05738
C13,2020-08-09,11:30:00,53.03966,-9.05684
C14,2020-08-09,12:40:00,53.03851,-9.05899
C15,2020-08-09,13:00:00,53.03877,-9.05829
C16,2020-08-09,13:30:00,53.03828,-9.05753
C17,2020-08-09,14:00:00,53.03775,-9.05731
C18,2020-08-09,14:20:00,53.03776,-9.05733
C19,2020-08-09,14:35:00,53.03737,-9.0562
C20,2020-08-09,15:00:00,53.03668,-9.05641
C21,2020-08-09,15:20:00,53.03765,-9.05565
C22,2020-08-09,15:35:00,53.03787,-9.05421
C23,2020-08-10,10:45:00,53.03804,-9.0563
C24,2020-08-10,11:15:00,53.03712,-9.05578
C25,2020-08-10,11:30:00,53.03765,-9.05476
C26,2020-08-10,12:25:00,53.03833,-9.05339
C27,2020-08-10,12:45:00,53.03868,-9.05219
C28,2020-08-10,13:15:00,53.03945,-9.04978
C29,2020-08-10,13:45:00,53.03949,-9.0495
C30,2020-08-10,13:50:00,53.03987,-9.04937
C31,2020-08-23,11:00:00,53.03887,-9.058547
C32,2020-08-23,11:18:00,53.038975,-9.058206
C33,2020-08-23,12:20:00,53.038158,-9.056657
C35,2020-08-23,13:00:00,53.037981,-9.055085
C38,2020-08-18,17:20:00,53.03923,-9.05124
C39,2020-08-18,14:00:00,53.039379,-9.048424
C40,2020-08-18,16:26:00,53.04017,-9.04857
C41,2020-08-18,15:15:00,53.04098,-9.04747
C42,2020-08-10,12:00:00,53.03799,-9.05371
C43,2020-08-10,14:15:00,53.039641,-9.049505
C44,2020-08-10,15:35:00,53.04059,-9.05324
C45,2020-08-10,15:55:00,53.04046,-9.05346
C46,2020-08-18,14:47:00,53.040662,-9.047573
C47,2020-08-18,15:52:00,53.04045,-9.04788
C48,2020-08-18,15:35:00,53.04015,-9.04946
C49,2020-08-18,16:35:00,53.04026,-9.04935
C50,2020-08-18,17:38:00,53.03871,-9.05232
C53,2020-08-23,11:40:00,53.038684,-9.057304
C54,2020-08-18,14:20:00,53.03989,-9.04784
C57,2020-08-18,16:58:00,53.03992,-9.05004
C59,2020-08-18,13:45:00,53.0396,-9.04957
C70,2020-08-23,10:48:00,53.038352,-9.057229
C71,2020-08-23,11:27:00,53.038933,-9.058305
C73,2020-08-23,12:00:00,53.038772,-9.057479
C74,2020-08-23,13:35:00,53.038291,-9.053016
